countyFIPS,population_male,population_female,sex_ratio,under_18,over_18,over_or_62,median_age,total_housing
1121,38489,41339,93.1,16810,63018,18090,41.5,37906
1125,99576,109335,91.1,43992,164919,34686,33.0,93002
2170,55481,52129,106.4,28861,78749,16870,35.5,41986
4001,35613,36205,98.4,19517,52301,13466,35.4,32942
4015,105596,103954,101.6,35609,173941,76377,52.5,115269
4019,510267,528806,96.5,216294,822779,243731,39.0,462778
4021,233292,213846,109.1,101143,345995,107624,39.8,177186
4027,109526,102602,106.7,53632,158496,45823,35.1,93571
5119,187585,205095,91.5,90988,301692,75865,37.9,185967
5143,118088,118873,99.3,57013,179948,32933,32.2,95013
6037,4982529,5122989,97.3,2188893,7916625,1702353,36.7,3561342
6045,43017,44589,96.5,18535,69071,23698,42.9,40934
6059,1573189,1612779,97.5,698786,2487182,571458,38.3,1111321
6061,193296,199853,96.7,87122,306027,92532,42.3,167122
6067,752842,788133,95.5,363911,1177064,272495,36.4,574471
6095,222472,224138,99.3,99231,347379,86721,38.5,158815
9005,89654,91457,98.0,33007,148104,47152,47.6,88402
9007,78396,84286,93.0,28778,133904,40406,45.6,76547
12023,35555,34948,101.7,15313,55190,16206,40.7,29082
12053,91394,99471,91.9,35153,155712,62500,49.1,87534
12085,79107,81805,96.7,26502,134410,57779,52.5,80394
12087,38491,36536,105.4,11243,63784,20400,48.1,53457
12095,677889,702756,96.5,305594,1075051,205500,35.3,544460
12101,261830,277800,94.3,109471,430159,142909,44.5,246946
12115,203878,222840,91.5,60574,366144,178420,56.5,244020
12119,64120,64634,99.2,9257,119497,81284,67.5,72372
13047,33441,33979,98.4,14028,53392,14491,41.4,27528
13077,73040,72824,100.3,34644,111220,26167,38.3,55387
13247,42762,47832,89.4,22317,68277,16328,38.2,33852
13297,44927,48576,92.5,23405,70098,16783,38.2,34263
15003,492913,487167,101.2,207907,772173,207429,38.1,352582
16005,43519,43619,99.8,22544,64594,14558,33.6,34441
16055,79091,82414,96.0,36630,124875,37917,40.6,72500
17099,55242,54188,101.9,23327,86103,25442,41.9,50149
17113,84289,88539,95.2,37134,135694,29430,33.4,72676
17161,69273,74204,93.4,31980,111497,32798,40.4,66180
18011,33267,33732,98.6,17674,49325,10943,37.9,27548
18157,98987,94061,105.2,40134,152914,27375,28.2,76740
18177,31452,34484,91.2,14475,51461,15298,40.3,31442
19113,111575,114334,97.6,52580,173329,43613,37.8,98067
19193,51134,51405,99.5,26651,75888,19750,36.7,42434
21145,30816,34530,89.2,14253,51093,16568,42.8,32270
22073,74556,79919,93.3,39163,115312,28191,35.5,69035
23001,53089,54590,97.3,22257,85422,23377,41.9,50052
24003,285544,290487,98.3,127974,448057,106071,38.2,226432
26091,49510,48756,101.5,20655,77611,22416,41.3,43877
27013,33429,33998,98.3,13316,54111,11131,30.6,28815
27037,208780,216643,96.4,103633,321790,72585,38.2,168122
27123,268736,281474,95.5,128233,421977,97993,35.1,220680
28033,87944,94057,93.5,46708,135293,29642,37.4,68524
28047,101653,104997,96.8,49415,157235,36791,36.8,93896
28049,110488,126597,87.3,56752,180333,42128,35.1,104339
29097,59060,61576,95.9,30076,90560,22137,35.9,51798
29099,111579,112768,98.9,51654,172693,44783,39.7,91634
29183,196522,202660,97.0,92672,306510,77813,38.7,156335
29187,34634,32058,108.0,14116,52576,13428,40.2,30242
30029,51056,51050,100.0,22476,79630,25222,41.5,49088
33009,43749,46037,95.0,14376,75410,22053,42.7,53071
35001,333250,345451,96.5,147370,531331,134441,37.8,295208
36005,673951,758181,88.9,355049,1077083,227713,34.4,532509
36013,63814,64125,99.5,25570,102369,31011,42.4,67661
36015,40747,43507,93.7,17598,66656,19779,43.1,38924
36059,661642,696701,95.0,291228,1067115,293141,41.7,473454
36071,192029,189922,101.1,97252,284699,68651,36.9,144234
37019,65320,71424,91.5,20910,115834,53529,54.7,92284
37021,123775,135328,91.5,47576,211527,63828,42.5,126577
37067,180429,198670,90.8,86658,292441,73871,38.5,166941
37127,45889,48127,95.3,20421,73595,20780,41.8,43152
37133,108587,89096,121.9,48419,149264,21742,26.5,80259
37193,33260,35297,94.2,14044,54513,19222,45.4,33642
39025,100815,104651,96.3,47609,157857,41042,39.9,83786
39035,593150,650707,91.2,257827,986030,277520,40.4,617923
39041,101021,103805,97.3,54159,150667,34230,38.7,74534
39049,639445,670855,95.3,304644,1005656,199858,34.1,559933
39061,394206,422478,93.3,187275,629409,155321,36.6,380048
39103,89213,89933,99.2,40256,138890,39215,41.9,73043
39113,257229,275102,93.5,117544,414787,115249,39.2,254821
39165,117267,114906,102.1,56555,175618,41034,39.2,88444
40017,70792,73655,96.1,37771,106676,23730,35.7,48974
42029,257619,264427,97.4,118708,403338,107591,40.6,201344
42077,180300,187800,96.0,83219,284881,76489,38.5,146732
42097,46104,44979,102.5,17800,73283,23312,44.6,45471
45045,250343,263870,94.9,118030,396183,98965,38.4,214115
45063,142817,152215,93.8,68466,226566,58015,39.0,126223
46103,56411,55318,102.0,25304,86425,26537,40.1,49249
47011,52403,54324,96.5,23230,83497,22053,40.1,44157
47059,33947,35140,96.6,13063,56024,17813,44.5,32690
47119,46156,48184,95.8,22116,72224,17790,38.6,38352
47189,69200,71425,96.9,33657,106968,27335,40.5,55159
48021,44143,42833,103.1,22094,64882,16019,38.1,30175
48037,47223,47101,100.3,22688,71636,18667,37.5,40038
48041,115417,111341,103.7,46903,179855,26144,26.9,92697
48141,414919,425839,97.4,228101,612657,129028,32.5,299672
48203,32233,34493,93.4,16892,49834,14165,37.9,28731
48209,111088,111543,99.6,49928,172703,30584,32.0,81999
48355,179696,182569,98.4,88910,273355,65248,35.7,149961
49053,84845,86855,97.7,44725,126975,42654,38.2,71349
51003,51711,57007,90.7,21527,87191,24655,38.6,46081
51041,168655,179901,93.7,82720,265836,66985,39.0,132362
51059,570773,580022,98.4,269098,881697,192935,38.0,415485
51680,38123,44003,86.6,16004,66122,14941,28.4,32521
53005,99991,101886,98.1,53999,147878,37303,35.8,77373
53063,253650,260981,97.2,114053,400578,101789,37.8,219873
53073,111469,114216,97.6,44119,181566,48350,37.2,97867
55097,35628,35314,100.9,13929,57013,14460,37.1,31129
55131,67090,68603,97.8,29755,105938,30638,43.3,57201
1015,55054,59223,93.0,24484,89793,24963,40.1,53888
1055,48830,53671,91.0,22032,80469,24397,41.3,47847
1081,80832,83109,97.3,34795,129146,25145,32.1,70372
2020,148668,142870,104.1,71338,220200,40483,34.3,118233
2090,53397,45574,117.2,23858,75113,13404,31.7,44307
5085,36199,37458,96.6,19045,54612,12028,36.8,29747
6001,820179,846574,96.9,342511,1324242,286760,37.6,615129
6033,31318,33064,94.7,13510,50872,17946,44.0,34751
6075,450985,432320,104.3,118684,764621,167289,38.3,401478
6097,243952,255990,95.3,98257,401685,118728,42.4,205247
6113,107008,113400,94.4,46898,173510,33631,31.1,78527
8005,323168,328047,98.5,152661,498554,107357,36.9,254250
8031,358836,357656,100.3,139699,576793,103977,34.6,330884
8123,158125,156180,101.2,82497,231808,49829,34.6,112472
9013,75123,75798,99.1,26203,124718,30641,36.7,60041
10005,111003,118283,93.8,42252,187034,77006,50.6,141092
11001,334208,368247,90.8,127214,575241,104885,33.9,319579
12017,72104,75825,95.1,21949,125980,63023,57.2,79988
12109,124435,129826,95.8,54889,199372,63166,44.3,110837
13031,38232,39064,97.9,14940,62356,11447,28.1,31413
13045,58237,59884,97.2,28077,90044,20657,34.9,45537
13067,366941,389924,94.1,178195,578670,117308,36.7,302644
13115,46055,51872,88.8,22625,75302,20975,38.4,40639
13139,100325,101823,98.5,51279,150869,36086,36.8,74431
13217,52294,57247,91.3,28413,81128,17807,36.8,39691
16083,43370,42711,101.5,23536,62545,15958,35.3,33711
17031,2516466,2664027,94.5,1129672,4050821,940839,37.0,2200296
17115,50279,54433,92.4,23097,81615,25870,40.9,50405
17143,87818,92803,94.6,42559,138062,38411,38.0,83650
18059,37401,38950,96.0,17780,58571,14743,38.8,30586
18067,39675,42691,92.9,18632,63734,18961,42.1,39559
18085,39626,39718,99.8,18892,60452,16859,38.5,38744
18163,88305,92669,95.3,39195,141779,37896,38.6,84494
18167,54555,52831,103.3,21693,85693,21054,36.3,47525
21037,45006,48146,93.5,19403,73749,17875,38.5,40545
21047,37000,34671,106.7,19005,52666,10875,28.2,30004
22019,98084,105028,93.4,50285,152827,39644,36.2,92041
22033,210721,230235,91.5,100180,340776,78941,34.2,195199
22097,40269,42495,94.8,22260,60504,16278,37.0,36932
22105,65151,68626,94.9,32871,100906,23228,36.3,56367
24013,83560,84869,98.5,36578,131851,35162,42.1,63725
24045,48745,54450,89.5,22715,80480,19341,35.5,42469
25003,61499,64849,94.8,21564,104784,36854,47.3,69393
25011,34401,36562,94.1,12746,58217,20054,46.7,34164
25013,227450,242956,93.6,101138,369268,96801,39.1,193880
25023,252706,265426,95.2,110245,407887,115888,43.0,208087
25027,409838,421001,97.3,174421,656418,164086,40.0,336474
26065,142463,150272,94.8,58406,234329,50376,32.1,124135
26155,33604,34588,97.2,14566,53626,15484,42.7,30272
27139,72552,74829,97.0,40100,107281,21085,37.0,51942
29043,42661,44322,96.3,23133,63850,16644,38.2,34792
29047,120169,126196,95.2,59577,186788,44101,37.3,98914
30049,33854,34846,97.2,14986,53714,15589,40.8,31784
30063,59085,59706,99.0,22121,96670,22538,36.3,54922
30111,78902,81235,97.1,37615,122522,32979,37.9,72400
34019,62020,62694,98.9,24239,100475,27779,46.6,50454
35025,35698,33913,105.3,20628,48983,9119,32.2,26765
36045,58729,53026,110.8,26799,84956,19263,33.0,60041
36063,102743,107690,95.4,42063,168370,50320,43.7,100617
36079,49528,49364,100.3,19590,79302,21756,43.7,38679
36087,160230,165465,96.8,91712,233983,63686,35.9,106723
36105,38858,36640,106.1,16002,59496,17853,42.7,50941
